yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
23192024,2319,2024,FL0010000,FL0010000,,N,N,,I,ALACHUA,ALACHUA CO SO GAINESVILLE,Alachua,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,128511,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,137,39,176,61,78,139,1.5,2.5,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,ALACHUA,"Gainesville, FL",Y,Y,Y
23202024,2320,2024,FL0010100,FL0010100,,N,N,,I,GAINESVILLE,GAINESVILLE PD,Gainesville,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,147022,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,194,26,220,45,47,92,1.6,2.1,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALACHUA,"Gainesville, FL",Y,Y,Y
23252024,2325,2024,FL0010600,FL0010600,,N,N,,I,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA PD GAINESVILLE,University of Florida,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,University or College,0,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,55,23,78,19,27,46,0,0,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,ALACHUA,"Gainesville, FL",Y,Y,Y
23412024,2341,2024,FL0020000,FL0020000,,N,N,,I,BAKER,BAKER CO SO MACCLENNY,Baker,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,28959,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,55,2,57,4,10,14,2.0,2.5,2021-01-01,2021-01-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,BAKER,"Jacksonville, FL",Y,Y,Y
23752024,2375,2024,FL0040000,FL0040000,,N,N,,I,BRADFORD,BRADFORD CO SO STARKE,Bradford,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,21565,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,BRADFORD,Not Specified,Y,Y,Y
23882024,2388,2024,FL0050000,FL0050000,,N,N,,I,BREVARD,BREVARD CO SO TITUSVILLE,Brevard,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,269685,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,467,273,740,84,365,449,2.0,4.4,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
23902024,2390,2024,FL0050200,FL0050200,,N,N,,I,COCOA,COCOA PD,Cocoa,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,20235,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,49,5,54,8,26,34,2.8,4.3,2021-01-01,2023-07-01,2023-07-01,2023-07-01,2023-07-01,2023-07-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
23942024,2394,2024,FL0050600,FL0050600,,N,N,,I,INDIAN HARBOUR BEACH,INDIAN HARBOUR BEACH PD,Indian Harbour Beach,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,9020,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,1,18,2,8,10,2.1,3.1,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
23982024,2398,2024,FL0051000,FL0051000,,N,N,,I,SATELLITE BEACH,SATELLITE BEACH PD EAU GALLIE,Satellite Beach,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,11380,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,2,22,5,5,10,2.2,2.8,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
23992024,2399,2024,FL0051100,FL0051100,,N,N,,I,TITUSVILLE,TITUSVILLE PD,Titusville,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,49970,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,75,4,79,11,40,51,1.7,2.6,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
24002024,2400,2024,FL0051200,FL0051200,,N,N,,I,PALM BAY,PALM BAY PD,Palm Bay,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,141137,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,N,,,,,,,,,2021-01-01,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
24042024,2404,2024,FL0051600,FL0051600,,N,N,,I,WEST MELBOURNE,WEST MELBOURNE PD MELBOURNE,West Melbourne,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,30057,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,41,5,46,7,8,15,1.6,2.0,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,BREVARD,"Palm Bay-Melbourne-Titusville, FL",Y,Y,Y
24212024,2421,2024,FL0060300,FL0060300,,N,N,,I,FORT LAUDERDALE,FORT LAUDERDALE POLICE DEPARTMENT,Fort Lauderdale,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,184714,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,433,48,481,116,130,246,3.0,3.9,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
24262024,2426,2024,FL0060800,FL0060800,,N,N,,I,PEMBROKE PINES,PEMBROKE PINES PD,Pembroke Pines,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,171138,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,211,37,248,36,58,94,1.4,2.0,2021-01-01,2024-10-01,2024-10-01,2024-10-01,2024-10-01,2024-10-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
24302024,2430,2024,FL0061200,FL0061200,,N,N,,I,DAVIE,DAVIE POLICE DEPARTMENT,Davie,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,108397,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,164,20,184,33,58,91,1.8,2.5,2021-01-01,2022-01-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
24322024,2432,2024,FL0061400,FL0061400,,N,N,,I,HILLSBORO BEACH,HILLSBORO BEACH POLICE DEPARTMENT,Hillsboro Beach,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,1972,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,12,3,15,2,4,6,7.1,10.6,2021-01-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
24392024,2439,2024,FL0062200,FL0062200,,N,N,,I,MIRAMAR,MIRAMAR PD,Miramar,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,139611,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,175,29,204,51,52,103,1.6,2.2,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
24442024,2444,2024,FL0062800,FL0062800,,N,N,,I,CORAL SPRINGS,CORAL SPRINGS PD,Coral Springs,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,135157,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,173,27,200,41,86,127,1.6,2.4,2021-01-01,2021-08-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,BROWARD,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,Y,Y
